"Time","Data","Info"
"0.000000","32352e383030303030","61557  >  61557 Len=9"
"1.002206","32342e373030303030","61557  >  61557 Len=9"
"2.002716","32352e343030303030","61557  >  61557 Len=9"
"3.008717","32342e373030303030","61557  >  61557 Len=9"
"4.004952","32362e313030303030","61557  >  61557 Len=9"
"5.006089","32352e323030303030","61557  >  61557 Len=9"
"6.019728","32342e373030303030","61557  >  61557 Len=9"
"7.008863","32352e343030303030","61557  >  61557 Len=9"
"8.017068","32342e353030303030","61557  >  61557 Len=9"
"9.012370","32342e393030303030","61557  >  61557 Len=9"
"10.024519","32342e363030303030","61557  >  61557 Len=9"
"11.022517","32362e303030303030","61557  >  61557 Len=9"
"12.018622","32352e343030303030","61557  >  61557 Len=9"
"13.031150","32352e333030303030","61557  >  61557 Len=9"
"14.017862","32362e323030303030","61557  >  61557 Len=9"
"15.020013","32362e313030303030","61557  >  61557 Len=9"
"16.021852","32352e363030303030","61557  >  61557 Len=9"
"17.029497","32362e303030303030","61557  >  61557 Len=9"
"18.026141","32342e373030303030","61557  >  61557 Len=9"
"19.028355","32342e393030303030","61557  >  61557 Len=9"
"20.029211","32362e303030303030","61557  >  61557 Len=9"
"21.030913","32352e303030303030","61557  >  61557 Len=9"
"22.032864","32342e373030303030","61557  >  61557 Len=9"
"23.034926","32342e393030303030","61557  >  61557 Len=9"
"24.040225","32362e303030303030","61557  >  61557 Len=9"
"25.090935","32362e323030303030","61557  >  61557 Len=9"
"26.048254","32352e393030303030","61557  >  61557 Len=9"
"27.043147","32342e393030303030","61557  >  61557 Len=9"
"28.044562","32342e333030303030","61557  >  61557 Len=9"
"29.045846","32352e343030303030","61557  >  61557 Len=9"
"30.047898","32342e393030303030","61557  >  61557 Len=9"
"31.049788","32352e313030303030","61557  >  61557 Len=9"
"32.050989","32352e323030303030","61557  >  61557 Len=9"
"33.052770","32352e383030303030","61557  >  61557 Len=9"
"34.055233","32342e353030303030","61557  >  61557 Len=9"
"35.056922","32352e313030303030","61557  >  61557 Len=9"
"36.058857","32362e303030303030","61557  >  61557 Len=9"
"37.060965","32342e343030303030","61557  >  61557 Len=9"
"38.062932","32352e363030303030","61557  >  61557 Len=9"
"39.065187","32362e313030303030","61557  >  61557 Len=9"
"40.067838","32362e313030303030","61557  >  61557 Len=9"
"41.090092","32362e303030303030","61557  >  61557 Len=9"
"42.070012","32352e353030303030","61557  >  61557 Len=9"
"43.072069","32352e353030303030","61557  >  61557 Len=9"
"44.075965","32342e343030303030","61557  >  61557 Len=9"
"45.077613","32352e323030303030","61557  >  61557 Len=9"
"46.077882","32342e353030303030","61557  >  61557 Len=9"
"47.079985","32352e353030303030","61557  >  61557 Len=9"
"48.085931","32362e313030303030","61557  >  61557 Len=9"
"49.083951","32342e393030303030","61557  >  61557 Len=9"
"50.085934","32362e323030303030","61557  >  61557 Len=9"
"51.088028","32352e363030303030","61557  >  61557 Len=9"
"52.090386","32342e333030303030","61557  >  61557 Len=9"
"53.093176","32352e393030303030","61557  >  61557 Len=9"
"54.096333","32352e363030303030","61557  >  61557 Len=9"
"55.102229","32352e333030303030","61557  >  61557 Len=9"
"56.097425","32352e383030303030","61557  >  61557 Len=9"
"57.119031","32342e353030303030","61557  >  61557 Len=9"
"58.105361","32352e373030303030","61557  >  61557 Len=9"
"59.102473","32352e333030303030","61557  >  61557 Len=9"
"60.103991","32352e383030303030","61557  >  61557 Len=9"
"61.104117","32342e383030303030","61557  >  61557 Len=9"
"62.105963","32342e333030303030","61557  >  61557 Len=9"
"63.118146","32342e373030303030","61557  >  61557 Len=9"
"64.111494","32342e393030303030","61557  >  61557 Len=9"
